first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",09-03-1988,0b242abb623afc578575680df30655b9,1325376018,36.011293,-82.048315,0
Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,21-06-1978,1f76529f8574734946361c461b024d99,1325376044,49.159047,-118.186462,0
Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,19-01-1962,a1a22d70485983eac12b5b88dad1cf95,1325376051,43.150704,-112.154481,0
Jeremy,White,M,9443 Cynthia Court Apt. 038,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,12-01-1967,6b849c168bdad6f867558c3793159a81,1325376076,47.034331,-112.561071,0
Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,28-03-1986,a41d7549acf90789359a9aa5346dcb46,1325376186,38.674999,-78.632459,0
Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,19-06-1961,189a841a0a8ba03058526bcfe566aab5,1325376248,40.653382,-76.152667,0
Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,16-08-1993,83ec1cc84142af6e2acf10c44949e720,1325376282,37.162705,-100.15337,0
Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",21-08-1947,6d294ed2cc447d2c71c7171a3d54967c,1325376308,38.948089,-78.540296,0
Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,07-03-1941,fc28024ce480f8ef21a32d64c93a29f5,1325376318,40.351813,-79.958146,0
Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,28-03-1974,3b9014ea8fb80bd65de0b1463b00b00e,1325376361,37.179198,-87.485381,0
Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,13-07-1990,d71c95ab6b7356dd74389d41df429c87,1325376383,40.275891,-96.011548,0
Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,14-02-1966,3c74776e558f1499a7824b556e474b1d,1325376413,40.103866,-78.624459,0
Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",28-02-1989,c1d9a7ddb1e34639fe82758de97f4abf,1325376416,27.630593,-82.308891,0
Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,21-12-1945,413636e759663f264aae1819a4d4f231,1325376447,41.65752,-122.230347,0
Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,30-08-1967,8a6293af5ed278dea14448ded2685fea,1325376543,32.863258,-106.520205,0
Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",30-06-1965,baae0b096835c975857eea7e28dde3dc,1325376560,41.831174,-74.335559,0
Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",06-07-1952,991c04803b4d4eeab30d6245a872e3d3,1325376649,36.384092,-99.048472,0
Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,15-03-1938,f12cf52be2175703db789a4644c32f25,1325376658,38.674491,-88.305767,0
Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,02-02-1946,8500f3d459047eac8443307b1e8296e5,1325376674,41.430274,-79.492553,0
Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,21-12-1980,09eff9c806365e2a6be12c1bbab3d70e,1325376754,40.079588,-74.848087,0
Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22-11-1980,139a1bee15be607d79fe173bfcb2502a,1325376788,42.26876,-71.217297,0
Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,14-02-1961,b9c4615bec3561c8e83b0c1d6c7028e2,1325376877,40.18893,-91.955115,0
Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,19-07-1974,19e23c6a300c774354417befe4f31f8c,1325377036,40.021888,-74.228188,0
Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,26-07-1965,c4b4daebab8be54cadde4b941244ca53,1325377060,31.62635,-98.610225,0
Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",02-01-1946,d2432bfeabf142dc1bae1d426e32aecc,1325377086,43.375041,-89.055065,0
Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,13-08-1962,abe0676c18f34fa305b113fa762e29b5,1325377087,36.74987,-78.67787,0
Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,05-11-1971,6f363661ba6b55889e488dd178f2a0af,1325377215,42.360426,-83.552316,0
Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",02-08-1967,f3c43d336e92a44fc2fb67058d5949e3,1325377292,43.753735,-111.454923,0
Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,03-12-1966,95826e3caa9e0b905294c6dae985aec1,1325377326,19.560013,-156.045889,0
Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,15-03-1945,20490f3f0966ce74b4aaba8dc2c4ed52,1325377338,42.47559,-101.265846,0
Tammie,Harper,F,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,19-05-1961,870c92b288a974a2faf1f24b05c27e33,1325377356,44.278191,-121.815161,0
Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,30-12-1964,cb598ec00d349dc95e7b3c18de5ae800,1325377359,36.294205,-89.811282,0
Heather,Stanton,F,445 Jerry Lights Apt. 081,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,22-04-1964,20f048d3907dbb9978e23bee7b7578ce,1325377364,46.412038,-88.516663,0
Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",22-02-1977,1654da2abfb9e79a5f99167fc9779558,1325377421,29.737426,-90.853194,0
Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",20-07-1970,c733711c521c41c578f4a964d8350df0,1325377438,38.880898,-76.441116,0
Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",04-06-1984,7e2f9596cb3a3595ece15611ee338e5c,1325377546,36.823545,-83.90104,0
Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21-10-1970,f246ac27c09429ff1e385d4683c79c4d,1325377582,40.202538,-73.859212,0
Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,24-12-1984,7bb25a43205191eb7344282b88fc54d3,1325377665,31.939812,-90.726209,0
Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",01-10-1998,61bcb858dd5c8e2d0d46d02b4fa0bf8e,1325377676,40.586238,-75.802249,0
Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",27-04-1988,a8394c3e555166ce2f90eee628bd9ade,1325377751,40.011959,-72.594808,0
Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,18-07-1987,f1566e9623814dd277dfa2a9bf83ea36,1325377849,40.332519,-99.062962,0
Lisa,Garcia,F,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,14-10-1971,8d11abad6bc3501f9994f061e3a5b730,1325377861,42.041783,-73.076424,0
Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",23-04-1987,47238da5b40d126c8abea40a857c7809,1325377911,39.807313,-109.348294,0
Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,16-08-1993,d9dcde500bed2cad48ee41e44c362596,1325377935,38.862183,-101.234087,0
Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,06-01-1942,14a6e29ac65424550ea7e7c9f551dbb8,1325377935,42.236269,-88.397336,0
Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,28-01-1971,685bcca9eb5ce554134d7242d564ecc9,1325377967,27.588953,-99.816911,0
Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,25-07-1972,392529cae1f1f1647093732a8f319c50,1325378031,35.255978,-86.041872,0
Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",01-09-1984,9b7a0619dcc5c572dc134f2827ed5a6b,1325378050,48.682111,-122.719904,0
Briana,Santos,F,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",06-01-1960,f1e1ad954f49955c37b45eb71b2d1642,1325378172,39.681736,-88.323862,0
Sandra,Schwartz,F,3789 Mark Walks,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",06-11-1986,e02fd7d82af517718f83a3f05077d435,1325378218,33.595647,-90.234118,0
Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",05-01-1954,289789e617eece42a9cafe36680b1b69,1325378238,35.034285,-92.34301,0
Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,27-09-1970,64a6d4be2510d764cbd869cd2a57a4fd,1325378362,34.852665,-98.90267,0
James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,09-02-1994,211c26efcb0ed5e87d4700daee23e070,1325378377,45.323099,-85.116543,0
Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,24-11-1942,7d68e49b63d845b808108fcd41c15877,1325378383,32.282224,-97.46183,0
Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,05-11-1994,88fde595524ba43924f36bd397b86413,1325378444,31.414174,-87.138632,0
Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,25-10-1993,01620e8ae84989a6f95581855e49da99,1325378448,43.1763,-77.901777,0
